date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:29	270185/270185	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:28%20GMT	https://www.dealabs.com/bons-plans/ssd-interne-25-crucial-mx500-500-go-1179335	C:/wamp64/www/indus/www.dealabs.com/bons-plans/ssd-interne-25-crucial-mx500-500-go-1179335.html	(from https://www.dealabs.com/bons-plans)
15:38:30	643/643	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202018%2007:03:16%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/22791_21.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/22791_21.jpg	(from https://www.dealabs.com/bons-plans)
15:38:30	670506/670506	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:28%20GMT	https://www.dealabs.com/bons-plans/cdiscount	C:/wamp64/www/indus/www.dealabs.com/bons-plans/cdiscount.html	(from https://www.dealabs.com/bons-plans)
15:38:30	16442/16442	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:29%20GMT	https://www.dealabs.com/visit/thread/1179335	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179335	(from https://www.dealabs.com/bons-plans)
15:38:31	215064/215064	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:29%20GMT	https://www.dealabs.com/bons-plans/paquet-de-18-barres-kinder-maxi-lons-montmorot-39-1178908	C:/wamp64/www/indus/www.dealabs.com/bons-plans/paquet-de-18-barres-kinder-maxi-lons-montmorot-39-1178908.html	(from https://www.dealabs.com/bons-plans)
15:38:32	665465/665465	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:30%20GMT	https://www.dealabs.com/bons-plans/leader-price	C:/wamp64/www/indus/www.dealabs.com/bons-plans/leader-price.html	(from https://www.dealabs.com/bons-plans)
15:38:32	684/684	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jan%202018%2000:17:06%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/349727_8.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/349727_8.jpg	(from https://www.dealabs.com/bons-plans)
15:38:32	279687/279687	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:31%20GMT	https://www.dealabs.com/bons-plans/manette-sans-fil-microsoft-xbox-one-mediaworld-frontaliers-italie-1179290	C:/wamp64/www/indus/www.dealabs.com/bons-plans/manette-sans-fil-microsoft-xbox-one-mediaworld-frontaliers-italie-1179290.html	(from https://www.dealabs.com/bons-plans)
15:38:33	730/730	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2010:18:16%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/173708_38.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/173708_38.jpg	(from https://www.dealabs.com/bons-plans)
15:38:33	16766/16766	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:31%20GMT	https://www.dealabs.com/visit/thread/1179290	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179290	(from https://www.dealabs.com/bons-plans)
15:38:33	278883/278883	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:32%20GMT	https://www.dealabs.com/bons-plans/kit-de-ram-tkg-t-force-ddr4-3000-cl16-16-go-2x8-1179271	C:/wamp64/www/indus/www.dealabs.com/bons-plans/kit-de-ram-tkg-t-force-ddr4-3000-cl16-16-go-2x8-1179271.html	(from https://www.dealabs.com/bons-plans)
15:38:34	1380/1380	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2015:46:56%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/839648_2.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/839648_2.jpg	(from https://www.dealabs.com/bons-plans)
15:38:34	496828/496828	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:32%20GMT	https://www.dealabs.com/bons-plans/newegg.com	C:/wamp64/www/indus/www.dealabs.com/bons-plans/newegg.html	(from https://www.dealabs.com/bons-plans)
15:38:34	1040/1040	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:33%20GMT	https://www.dealabs.com/visit/thread/1179271	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179271	(from https://www.dealabs.com/bons-plans)
15:38:35	372722/372722	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:33%20GMT	https://www.dealabs.com/bons-plans/abonnes-tv-dorange-abonnement-mensuel-a-bein-sports-pendant-3-mois-sans-engagement-1179312	C:/wamp64/www/indus/www.dealabs.com/bons-plans/abonnes-tv-dorange-abonnement-mensuel-a-bein-sports-pendant-3-mois-sans-engagement-1179312.html	(from https://www.dealabs.com/bons-plans)
15:38:36	687/687	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2000:48:52%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/98958_17.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/98958_17.jpg	(from https://www.dealabs.com/bons-plans)
15:38:36	751448/751448	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:34%20GMT	https://www.dealabs.com/bons-plans/orange	C:/wamp64/www/indus/www.dealabs.com/bons-plans/orange.html	(from https://www.dealabs.com/bons-plans)
15:38:36	908/908	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:34%20GMT	https://www.dealabs.com/visit/thread/1179312	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179312	(from https://www.dealabs.com/bons-plans)
15:38:37	237986/237986	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:35%20GMT	https://www.dealabs.com/bons-plans/drone-quadricoptere-diy-revell-control-x-wing-star-wars-1179276	C:/wamp64/www/indus/www.dealabs.com/bons-plans/drone-quadricoptere-diy-revell-control-x-wing-star-wars-1179276.html	(from https://www.dealabs.com/bons-plans)
15:38:37	16466/16466	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:35%20GMT	https://www.dealabs.com/visit/thread/1179276	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179276	(from https://www.dealabs.com/bons-plans)
15:38:37	257909/257909	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:36%20GMT	https://www.dealabs.com/bons-plans/pour-les-femmes-billet-pour-le-match-de-football-rc-lens-bourg-en-bresse-peronnas-01-le-lundi-12-mars-au-stade-bollaert-delelis-62-1179168	C:/wamp64/www/indus/www.dealabs.com/bons-plans/pour-les-femmes-billet-pour-le-match-de-football-rc-lens-bourg-en-bresse-peronnas-01-le-lundi-12-mars-au-stade-bollaert-delelis-62-1179168.html	(from https://www.dealabs.com/bons-plans)
15:38:38	204801/204801	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:36%20GMT	https://www.dealabs.com/bons-plans/billetterie.rclens.dspsport.com	C:/wamp64/www/indus/www.dealabs.com/bons-plans/billetterie.rclens.dspsport.html	(from https://www.dealabs.com/bons-plans)
15:38:38	751/751	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202017%2000:51:06%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/115414_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/115414_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:38	1068/1068	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:37%20GMT	https://www.dealabs.com/visit/thread/1179168	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179168	(from https://www.dealabs.com/bons-plans)
